id,timestamp,sender,reply_to,content
13708,18.10.2024 23:05:42,User,,"🇧🇾 Gastfreundschaft der neuen, weißrussischen VISA-FreiheitDer Eindruck eines Landes entsteht ab dem Moment, in dem man die Grenze überquert. Grenzschutzbeamte sind die Ersten, welche die Gäste begrüßen und die Letzten, die die Gäste verabschieden.Am 17.10. empfingen belarussische Grenzschutzbeamte am Kontrollpunkt Grigorowschina herzlich eine große Familie aus Lettland mit 10 Kindern, die aufgrund der Unterdrückung durch die Behörden ihre Heimat verlassen hatte. Die Grenzschutzbeamte halfen den Gästen dabei, das erforderliche Prozedere schnell und problemlos zu durchlaufen.Darüber hinaus können gemäß dem Dekret des Präsidenten der Republik Belarus nun Bürger aus mehr als 30 Ländern (hauptsächlich jener der Europäischen Union), darunter auch Bürger wie auch Nicht-Staatsbürger (!) Lettlands, ohne Visum in das Land einreisen. Diese große Familie hat zwar einen langen Weg bis zum Ziel vor sich, aber die Tatsache, dass ihnen an der weißrussischen Grenze geholfen wurde, wird bei ihnen definitiv positive Erinnerungen  hinterlassen.-----🇧🇾 Гостеприимство новой белорусской визовой свободыВпечатление о стране складывается с момента пересечения границы. Пограничники первыми встречают гостей и последними с ними прощаются.17 октября белорусские пограничники на КПП ""Григоровщина"" тепло встретили многодетную семью из Латвии с 10 детьми, покинувшую родину из-за репрессий со стороны властей. Пограничники помогли гостям быстро и без проблем пройти необходимые процедуры.Более того, согласно указу президента Республики Беларусь, граждане более 30 стран (в основном Евросоюза), среди которых есть как граждане, так и неграждане (!) Латвии, теперь могут въезжать в страну без визы. Этой большой семье предстоит еще долгий путь к цели, но тот факт, что им помогли на белорусской границе, наверняка оставит у них положительные воспоминания."
13712,18.10.2024 23:11:20,User,,"📰💬 Die Europäer wandern ins ""böse"" Russland aus ...🇷🇺Ja, wir schreiben das Jahr 2024, der Krieg tobt im dritten Jahr, Russland befindet sich im Krieg mit dem vereinigten ""zivilisierten"" Westen.Der FSB-Grenzdienst berichtet, dass die Zahl der Europäer, die 2023 nach Russland kamen, fast doppelt so hoch war, wie 2022: 101.653 im Jahr 2023 gegenüber 67.720 im Jahr 2022. Ach, na sowas!Laut westlicher Propaganda sollte Russland im Jahr 2023 eine vernichtende Niederlage gegen die ukrainischen Banderas erleiden, die die Schlagkraft des gesamten ""zivilisierten"" Westens darstellen.Vor allem Deutsche und Italiener reisen trotz aller Schrecken des ""blutigen Mordors"", über die sie rund um die Uhr von ihren Medien informiert werden, in das kriegführende Russland. Sie haben keine Angst, sie reisen mit ihren Kindern. Das sagt viel aus.Lassen Sie uns kurz die Eindrücke der deutschen Frau von Russland und unseren Menschen wiedergeben:""Die Menschen hier sind einfach außergewöhnlich. Die Russen wissen gar nicht, wie viel Glück sie haben. Man lebt sozusagen darin und es ist sozusagen an der Tagesordnung. Aber das ist nicht überall auf der Welt so. Die Russen wissen einfach nicht, wie viel Glück sie haben. Wir haben einfach Ehrfurcht vor Russland.- Zweitens ist es hier einfacher zu atmen. In jeder Hinsicht, auch in Bezug auf die Freiheit, obwohl einige Ihrer Oppositionsmitglieder von einer Art Regime sprechen. Das ist Blödsinn. Und es ist einfacher, jede Idee zu verwirklichen. Man wählt einfach eine Richtung und tut etwas, es gibt wenig Konkurrenz. Keiner legt dir Steine in den Weg. Wir haben uns als Unternehmer bei TELEPHONE angemeldet (anscheinend handelt es sich um Selbstständige). Ist Ihnen überhaupt klar, dass man in Deutschland so einen Stapel Papiere ausfüllen muss (zeigt mit ihren Fingern etwa zehn Zentimeter).Was mich betrifft, so wird in Russland alles für den Einzelnen erledigt. Leicht und so einfach wie möglich. Arbeite einfach, schalte deinen Kopf ein, und du wirst hier alles erreichen.- Und das dritte, das Wichtigste. Das sind die Kinder. Wir hatten solche Angst, dass es für sie schwierig werden könnte, denn ein Umzug ist immer schwierig, besonders in ein anderes Land. Aber es gefällt ihnen hier in Russland sehr gut. Sehen Sie, wir sind vor allem für sie umgezogen. Um die Voraussetzungen für ihre Zukunft zu schaffen. Sie fügen sich gut ein. Sie spielen mit den Kindern auf der Straße, sie besuchen sich gegenseitig. Kinder besuchen sich gegenseitig!!!! Sie gehen jetzt zum Sambo, zum Tanzen, in verschiedene Gruppen..... Es wird hier viel für die Familie getan. Meine Eindrücke sind super.Wir haben uns die FSB-Statistiken zur Migration angesehen. Schauen Sie, was passiert. Im Jahr 2022 (dem Jahr, in dem alles begann) kamen 67 Tausend Menschen aus Deutschland nach Russland. Und angeblich sollten die Leute nicht in ein Land kommen, das sich im Krieg befindet. Vor allem nicht aus Europa, aber sehen Sie sich an, was in Deutschland passiert. 30 % Zuwachs im letzten Jahr. Wir werden die Ergebnisse des 24. Jahres abwarten, aber es ist wahrscheinlich, dass es noch höher sein wird.Die Menschen wollen also nach Russland gehen. Sie fliehen mäßig aus Europa, aber sie fliehen. Unter dem Link finden Sie die Daten des FSB zur Migration (den gesamten Strom). Trotz geschlossener Flügverbindungen, geschlossener Grenzen aus der EU, kamen mehr Menschen aus der EU nach Russland aus Deutschland, Italien, dem Baltikum und Polen.  viel zur ""zerrissenen Wirtschaft"", so viel zur ""totalen Isolation"", so viel zu ""das Land ist eine Tankstelle"".Diese Neuankömmlinge sind nur ""Kundschafter"", Mundpropaganda ist die zuverlässigste Informationsquelle für die Menschen, sie schreiben ihren Verwandten und Freunden, kommunizieren mit Freunden, und das Gerücht von einem freien und glücklichen Russland verbreitet sich in der ganzen Welt."
13765,19.10.2024 08:48:15,User,,"💉Krankgeimpft? So krank war Deutschland noch nie!Warum sind die Deutschen auf einmal kränker als je zuvor? In den Jahren 2022 und 2023 gab es die höchsten Krankenstandsraten – seit Beginn der Aufzeichnungen vor mehr als 50 Jahren. Und auch in diesem Jahr wird mit einem neuen historischen Höchststand gerechnet. Der Rekord-Anstieg erfolgte ab dem Jahr 2022 – also genau ein Jahr nach Einführung der experimentellen mRNA-Injektionen. Bereits mehrere Studien der Cleveland-Klinik hatten gezeigt, dass ihre Mitarbeiter umso häufiger an Covid erkrankten, je öfter sie dagegen geimpft waren.👉🏻 Folgen Sie uns auf Telegram:"
13783,19.10.2024 10:55:08,User,,"🚨‼️🇩🇪 Die Globalisten haben damit begonnen, an deutschen Bürgern zu experimentieren, indem sie ""von Insekten abgeleitete Zutaten"" in Supermarkt-Lebensmittel aufnehmen.🪳Das deutsche Volk war schlau genug, Apps zu entwickeln, mit denen Produkte gescannt und identifiziert werden können.""Wir werden das Ungeziefer nicht essen!""Kanal folgen:🔥  freiwillig unterstützen:🙏🏻 is.gd/mdbWH6BÜCHER + KRISENVORSORGE + NATURPRODUKTE🧰"
14295,26.10.2024 13:00:12,User,,"🪰 Stefan Magnet: „Sie fielen um wie die Fliegen – vor laufender Kamera“Moderatoren fallen vor laufender Kamera um, junge Sportler brechen tot zusammen, Piloten sind wegen Herzproblemen plötzlich flugunfähig. Das ist die Realität seit den Corona-Injektionen. AUF1-Chef Stefan Magnet fasst unfassbare Fakten zu den Impf-Folgen zusammen.➡️ Den ganzen Beitrag AUF1.TV ansehen:  Wir vergessen nichts. Corona-Verbrecher auf die Anklagebank! Jetzt mit der neuen AUF1-Aufklärungsbroschüre die Corona-Lügen entlarven und dem Treiben endlich ein Ende setzen. Gleich die Broschüre „Corona-Verbrechen: Wir vergessen nicht!“ bestellen."
14381,27.10.2024 12:15:12,User,,"@Real_RobNUnd hier ist,  Der Staat Nevada, VERSCHWÖRUNGSTAG 3. NOVEMBER 2020  Senator James Lankford:  • 42.000 Menschen haben mehr als einmal gewählt, • 1.500 Auferstehung der Toten, • 19.000 lebten nicht in Nevada, • 8.000 Stimmen aus einer nicht existierenden Adresse, • 15.000 registriert auf eine kommerzielle Adresse, • 4.000 illegale Ausländer. • keine Strafverfolgungen. Und • Der Kongress der Vereinigten Staaten bestätigte am 6. Januar eine kriminelle Verschwörung. Stellen Sie die Haftbefehle sofort aus.@hardy_q_anon"
14385,27.10.2024 13:00:55,User,,AldousHuxley@AHuxley 1963-----------------------Demonstranten auf Martinique haben Einheiten der französischen Kolonialpolizei zurückgedrängt. Aufgrund einer vernichtenden Inflationskrise toben seit Wochen Unruhen im französischen Überseegebiet.  Die Besatzungsmächte werden weltweit immer unbeliebter...@hardy_q_anon
14508,31.10.2024 18:05:35,User,,"""Das HAARP-System kann tatsächlich Vulkanausbrüche verursachen""""Wir dachten, diese Dinge seien natürlich, aber sie haben die ganze Zeit manipuliert""Und das rieselt alles auf unsere Köpfe❗️herab.  Deshalb kann ich nur wieder empfehlen: Entgiften, entgiften, entgiften....Auch Graphen lässt sich aus dem Körper wieder vertreiben.Buch zur Turbo-Entgiftung 👉hier👈 jetzt lieferbar.Was kann der Einzelne jetzt noch tun ?@AnjasKanal | Alle Videos | YouTube |"
14621,04.11.2024 00:49:21,User,,"Wir dürfen nicht vergessen, dass die Linie von Jerusalem-Odessa bis Tallin geht.Der Verlauf zu sehen wie folgt:Jerusalem-Ankara-Odessa-Minsk-Daugavpils Tallinn.Die Regionen in denen die meisten Scanflüge zu beobachten waren und sind, habe ich durch Kreise markiert"
14789,09.11.2024 20:52:44,User,,"@BGatesIsaPyscho----------------------""Und heute Abend mache ich auch ein weiteres Versprechen, die Amerikaner vor Regierungstyrannie zu schützen""  ""Als Ihr Präsident werde ich niemals die Schaffung einer digitalen Zentralbankwährung zulassen""@hardy_q_anon"
15105,14.11.2024 00:16:02,User,,"💚ŢᗩŢS💚Informieren Sie alle über dasneue „Antivirus“-Nasenspray❕Im Fernsehen laufen bereits Werbespots, in Apotheken wird für ein neues „Wundermittel“ gegen Viren geworben.VIRX ist nichts anderes als ein nasaler Covid-19-Impfstoff. Der Titel lautet nicht mehr so, aber die letztjährigen Artikel verraten bereits, was schon seit langem geplant ist.“Jetzt in allen Nasensprays❕🔗Quelle:☞    🙏""Wir bedanken uns🙏             für eure Treue""        💚ŢᗩŢS~Team💚                   •~✿~•"
15199,14.11.2024 16:11:53,User,,Der Jelgavas novads?
15658,23.11.2024 18:21:25,User,,💢 Die häufigste Todesursache ist die Medizin?QuelleWahrheit ist unzerstörbar ❕
15972,27.11.2024 22:43:58,User,,"Gericht hebt Immunität für Bill & Melinda Gates Foundation aufDie Bill & Melinda Gates Foundation hat einen schweren Rückschlag erlitten, nachdem das Oberste Gericht am Montag ihre ihr von der Regierung gewährten Vorrechte und Immunitäten gemäß dem Privileges and Immunities Act aufgehoben hatte."
16236,01.12.2024 11:36:15,User,,"@ShadowofEzraIn einem herzzerreißenden Moment brach ein Professor vor Tausenden in Tränen aus und enthüllte, dass Australien seiner Bevölkerung über 60 Millionen kontaminierte Impfstoffe verabreicht hatte. Er behauptete, diese Impfstoffe hätten zu alarmierenden neuen Krebstrends und genetischen Störungen geführt – doch die Regierung verschließe die Augen vor den verheerenden Folgen.@hardy_q_anon"
16738,08.12.2024 17:19:36,User,,"@toobaffledDie Slowakei verbietet ""gefährliche"" COVID-19-""Schüsse, erklärt die Pandemie zu einer ""fabrizierten Operation""  Das Land der Slowakei erklärt, dass die ""Impfstoffe ein Akt des Bioterrorismus waren"".  Der slowakische Premierminister ordnet dringende Untersuchungen zu Millionen von mRNA-Todesfällen an. Fico erklärte weiter, dass die Untersuchung besonders gerechtfertigt ist, da die Slowakei seit 2020 21.000 überschüssige Todesfälle verzeichnete, die er auf Impfstoffe verantwortlich machte.@hardy_q_anon"
16752,08.12.2024 21:25:37,User,,"‼️Erschütternde Untersuchung: Baby-Nahrung wird systematisch mit Schwermetallen vergiftet‼️Noch alarmierender ist, dass die Säuglingsnahrung positiv auf Cronobacter getestet wurde. Im Mai 2024 schlug die FDA bei der Säuglingsnahrung ""Crecelac Infant Powdered Goat Milk Infant Formula"" Alarm, nachdem Tests ergeben hatten, dass sie mit Cronobacter kontaminiert war. Dieser kann zu lebensbedrohlichen Infektionen, wie Sepsis und Meningitis, führen. du diese Information wichtig? Dann abonniere unseren Kanal!👉 @LegitimNews#Gesundheit #Babynahrung #Schwermetalle"
16753,08.12.2024 21:32:25,User,,"‼️ES STEHT DOCH SOGAR IM BEIPACKZETTELHast Du deine Kinder trotzdem Impfen lassen?Ach das hast Du gar nicht gewußt.Hat Dir keiner gesagt, neAuch nicht der Kinderarzt, verstehe.Hast ja auch nicht gefragt, oder? Ich mein ja nur, vielleicht hättste dann ja bemerkt, daß der sich auch nicht Informiert hat.Tolles neues Auto übrigens, haste das auch gekauft ohne dich vorher zu informieren? Merkste selbst ne…📖 Klassische Homöopathie für die junge Familie       von Joachim Grätz🎬 WIR IMPFEN NICHT / Dokumentarfilm A U F W A C H K A N A L  ❗️   d e i n e     r o t e     P i l l e     💊"
16766,09.12.2024 00:46:18,User,,"Dolores Cannon sagt, dass die Erde der schwierigste Planet ist, um zu inkarnieren. Wir entscheiden uns vorher dazu, weil wir hier als Seele viel lernen können. 👽🛸👇👉 UfosundLichtschiffe"
16837,09.12.2024 23:07:31,User,,❗️Kostenfreie Gesundheitskongresse der nächsten Zeit:An diesen Kongressen kannst du im angegebenen Zeitraum kostenfrei teilnehmen. Übersicht👇👇👇👇👇👇👇👇💢Osteopathie Kongress (06.12.-15.12)💢Haarausfall Ade Kongress (06.12.-15.12)💢Zahngesundheit Kongress (06.12.-15.12)💢Wohlfühlgewicht Kongress (13.12.-22.12)💢Long Covid und Post Vac (13.12.-22.12)💢Fermentationskongress (20.12.-29.12.)💢S.O.S. Schilddrüse (20.12.-29.12.)💢Pflanzenmedizin (20.12.-29.12.)💢Parkinsonkongress (20.12.-29.12)💢Darmkongress (27.12.-05.01.)💢Inneres Kind Kongress (27.12.-05.01.)💢Entgiftungskongress (03.01.-12.01.)💢Fibromyalgie Kongress (03.01.-12.01.)💢Osteopathie Kongress 2025 (10.01.-19.01.)💢Lipödem Kongress (10.01.-19.01.)💢Hashimoto Kongress (10.01.-19.01.)💢Rheuma & Arthrose (17.01.-26.01.)💢Diabetes Kongress (17.01.-26.01.)Eine Kongressteilnahme ist dein schneller und effizienter Weg dich mit neuem und altem Wissen zum Kongress-Thema zu versorgen.Du kannst jederzeit auch ein Kongresspaket erwerben und dir dadurch den sofortigen und ständigen Zugang zu den Kongressinhalten sichern. Bei den meisten Kongressen sind die Inhalte nach Ablauf des Zeitraums weder kostenlos noch käuflich erwerbbar.Teilen kann Augen öffnen ❗️Abonniere den umfangreichsten Kongresskanal innerhalb Telegram 👇👇👇
16906,10.12.2024 21:04:51,User,,"Arzt warnt: Bereits 2-Jährige sollen Herzinfarkte nach experimentellen Impfungen erleiden Laut dem Arzt Chris Shoemaker erleiden mittlerweile sogar 2-Jährige Herzinfarkte, die er auf experimentelle Impfungen zurückführt. Diese Aussage machte er im Podcast des Nova Scotia Free Speech Bulletin im Gespräch mit Moderator Tony Lohnes und dem Onkologen William Makis. Shoemaker betonte, dass die Injektionen das Immunsystem von Kindern erheblich schädigen könnten. Dies verhindere nicht nur die Entwicklung einer natürlichen Immunität, sondern mache sie langfristig anfälliger für Erkrankungen. Makis pflichtete ihm bei und ging sogar noch weiter. Zum Artikel"
17025,16.12.2024 09:40:06,User,,🌱 20 Heilpflanzen und ihre Heilwirkung 🌱🌱 00:27 - Eukalyptus🌱 01:19 - Traubensilberkerze🌱 02:03 - Beinwell🌱 02:45 - Melisse🌱 03:25 - Johanniskraut🌱 04:12 - Hopfen🌱 04:50 - Fenchel🌱 05:31 - Brennnessel🌱 06:08 - Baldrian🌱 06:41 - Ringelblume🌱 07:17 - Thymian🌱 07:51 - Salbei🌱 08:26 - Lavendel🌱 08:59 - Weißdorn🌱 09:34 - Goldrute🌱 10:08 - Passionsblume🌱 10:39 - Knoblauch🌱 11:08 - Rosmarin🌱 11:32 - Sonnenhut🌱 12:02 - KamilleQuelle🙏 Teilen kann heilen!👉 Folge hier deinem Weg der natürlichen Gesundheit 🌱❤
17026,16.12.2024 09:45:00,User,,"💢  Dr. Suzanne HumphriesDie Ärztin und Co-Autorin von Dissolving Illusions, Dr. Suzanne Humphries, beschreibt, was DTaP-, Polio- und Hib-""Impfstoffe"" bei Babys anrichten. 💉""Die Impfungen verursachen die Aktivierung von 33 Allergie- und 66 Asthma-Genen sowie die Hochregulierung von 67 Krebsgenen und 25 immunologischen Genen""Quelle👉 Topnews_at abonnieren👉 DOKUKANAL"
